iter	Passed	Remaining
0	5	5573
1	12	6011
2	22	7462
3	28	7161
4	34	6955
5	42	7037
6	48	6913
7	54	6736
8	59	6501
9	63	6251
10	68	6156
11	73	6087
12	78	5993
13	83	5858
14	87	5775
15	91	5657
16	96	5570
17	100	5493
18	105	5454
19	110	5416
20	115	5364
21	119	5302
22	124	5275
23	128	5236
24	133	5190
25	137	5150
26	141	5108
27	146	5085
28	150	5052
29	154	5010
30	159	4993
31	165	4993
32	170	4993
33	175	4984
34	180	4974
35	184	4950
36	189	4932
37	194	4921
38	199	4913
39	204	4898
40	208	4886
41	213	4874
42	217	4845
43	222	4833
44	226	4817
45	231	4799
46	235	4778
47	240	4774
48	245	4773
49	251	4778
50	256	4769
51	261	4764
52	266	4757
53	271	4755
54	276	4748
55	281	4742
56	286	4732
57	290	4722
58	295	4706
59	299	4698
60	304	4689
61	309	4682
62	314	4677
63	318	4663
64	323	4651
65	328	4644
66	333	4637
67	337	4626
68	341	4609
69	346	4598
70	351	4596
71	356	4590
72	360	4584
73	365	4576
74	370	4566
75	374	4555
76	383	4593
77	387	4580
78	392	4571
79	396	4565
80	402	4563
81	406	4553
82	411	4546
83	416	4541
84	421	4537
85	426	4535
86	431	4526
87	436	4522
88	441	4517
89	446	4511
90	451	4507
91	456	4503
92	461	4496
93	465	4487
94	470	4482
95	475	4475
96	480	4470
97	485	4465
98	490	4462
99	495	4462
100	501	4463
101	506	4459
102	510	4446
103	515	4439
104	519	4431
105	524	4424
106	528	4412
107	533	4403
108	537	4395
109	541	4384
110	546	4380
111	551	4371
112	556	4364
113	560	4357
114	565	4352
115	570	4346
116	575	4340
117	579	4332
118	584	4325
119	588	4317
120	593	4313
121	598	4306
122	602	4298
123	607	4293
124	612	4285
125	616	4276
126	620	4268
127	625	4260
128	629	4252
129	634	4245
130	639	4239
131	644	4237
132	649	4235
133	654	4227
134	658	4217
135	662	4206
136	666	4201
137	671	4193
138	675	4185
139	680	4177
140	684	4169
141	689	4165
142	694	4160
143	698	4152
144	703	4145
145	708	4141
146	712	4135
147	717	4129
148	721	4120
149	725	4113
150	730	4107
151	735	4103
152	739	4095
153	743	4086
154	748	4079
155	752	4073
156	757	4066
157	762	4061
158	766	4056
159	771	4051
160	776	4047
161	781	4040
162	785	4032
163	789	4024
164	794	4019
165	798	4011
166	802	4003
167	806	3994
168	811	3989
169	815	3980
170	819	3973
171	824	3968
172	829	3964
173	833	3958
174	838	3953
175	844	3952
176	849	3950
177	855	3948
178	860	3945
179	864	3940
180	869	3934
181	874	3930
182	879	3927
183	884	3921
184	889	3916
185	894	3914
186	899	3911
187	904	3906
188	909	3902
189	914	3898
190	919	3894
191	924	3890
192	929	3886
193	934	3883
194	939	3878
195	944	3874
196	949	3869
197	953	3862
198	958	3857
199	963	3852
200	968	3851
201	974	3850
202	979	3845
203	984	3842
204	989	3836
205	994	3831
206	999	3829
207	1004	3826
208	1010	3824
209	1015	3821
210	1021	3818
211	1026	3815
212	1031	3810
213	1037	3809
214	1042	3807
215	1048	3804
216	1052	3798
217	1057	3792
218	1062	3788
219	1067	3783
220	1071	3777
221	1076	3771
222	1081	3769
223	1086	3764
224	1091	3760
225	1096	3754
226	1100	3747
227	1105	3744
228	1110	3739
229	1115	3734
230	1120	3729
231	1125	3724
232	1130	3721
233	1134	3715
234	1139	3709
235	1144	3705
236	1149	3700
237	1155	3699
238	1160	3694
239	1165	3690
240	1169	3684
241	1174	3678
242	1178	3672
243	1182	3665
244	1187	3659
245	1192	3654
246	1196	3647
247	1200	3639
248	1204	3633
249	1209	3628
250	1214	3623
251	1218	3616
252	1221	3607
253	1226	3602
254	1232	3599
255	1237	3595
256	1241	3588
257	1245	3581
258	1249	3576
259	1254	3569
260	1257	3560
261	1261	3553
262	1268	3555
263	1272	3548
264	1277	3542
265	1281	3537
266	1286	3531
267	1290	3526
268	1295	3521
269	1300	3517
270	1305	3511
271	1310	3506
272	1314	3501
273	1319	3495
274	1323	3489
275	1328	3483
276	1332	3477
277	1336	3471
278	1340	3464
279	1344	3458
280	1349	3452
281	1353	3446
282	1358	3440
283	1362	3434
284	1366	3428
285	1370	3421
286	1374	3415
287	1379	3410
288	1383	3403
289	1387	3396
290	1391	3389
291	1395	3384
292	1400	3378
293	1404	3373
294	1408	3366
295	1413	3361
296	1418	3357
297	1423	3353
298	1433	3361
299	1439	3359
300	1445	3356
301	1450	3351
302	1455	3348
303	1460	3343
304	1465	3339
305	1470	3335
306	1475	3331
307	1480	3326
308	1485	3322
309	1491	3320
310	1497	3317
311	1503	3314
312	1509	3312
313	1515	3310
314	1520	3306
315	1526	3304
316	1532	3301
317	1538	3298
318	1543	3294
319	1548	3290
320	1553	3285
321	1558	3282
322	1563	3278
323	1568	3272
324	1573	3268
325	1579	3264
326	1584	3260
327	1589	3256
328	1594	3251
329	1598	3245
330	1602	3239
331	1607	3234
332	1611	3228
333	1616	3222
334	1620	3216
335	1624	3211
336	1629	3205
337	1634	3200
338	1638	3194
339	1642	3188
340	1646	3182
341	1651	3177
342	1655	3171
343	1660	3165
344	1664	3159
345	1668	3153
346	1672	3147
347	1677	3142
348	1681	3136
349	1686	3131
350	1690	3124
351	1694	3119
352	1699	3114
353	1703	3109
354	1708	3104
355	1713	3099
356	1717	3093
357	1722	3088
358	1735	3099
359	1743	3099
360	1749	3096
361	1754	3092
362	1759	3088
363	1773	3098
364	1778	3094
365	1784	3090
366	1788	3085
367	1793	3080
368	1798	3075
369	1802	3068
370	1806	3062
371	1810	3056
372	1814	3050
373	1818	3043
374	1823	3038
375	1827	3033
376	1831	3026
377	1835	3019
378	1839	3014
379	1845	3010
380	1849	3004
381	1853	2999
382	1857	2993
383	1862	2988
384	1867	2982
385	1871	2977
386	1876	2971
387	1880	2965
388	1884	2960
389	1889	2955
390	1893	2949
391	1898	2944
392	1902	2938
393	1907	2933
394	1911	2927
395	1916	2922
396	1921	2918
397	1926	2914
398	1931	2909
399	1936	2904
400	1940	2898
401	1944	2893
402	1949	2887
403	1952	2881
404	1957	2875
405	1961	2869
406	1965	2863
407	1969	2857
408	1973	2851
409	1978	2847
410	1983	2842
411	1987	2836
412	1992	2831
413	1995	2825
414	2000	2819
415	2004	2814
416	2009	2809
417	2014	2804
418	2019	2799
419	2023	2794
420	2028	2789
421	2032	2783
422	2036	2777
423	2039	2771
424	2044	2765
425	2048	2760
426	2053	2755
427	2057	2749
428	2061	2744
429	2065	2738
430	2070	2733
431	2075	2729
432	2080	2724
433	2085	2719
434	2089	2714
435	2093	2707
436	2097	2702
437	2101	2696
438	2105	2690
439	2111	2687
440	2117	2683
441	2121	2678
442	2126	2673
443	2131	2668
444	2135	2663
445	2139	2658
446	2144	2652
447	2147	2646
448	2152	2640
449	2156	2635
450	2160	2630
451	2165	2625
452	2169	2619
453	2173	2614
454	2178	2609
455	2182	2603
456	2186	2597
457	2191	2592
458	2195	2588
459	2200	2583
460	2203	2576
461	2208	2571
462	2213	2566
463	2218	2562
464	2223	2558
465	2227	2553
466	2232	2547
467	2236	2542
468	2240	2536
469	2244	2530
470	2248	2525
471	2251	2518
472	2255	2513
473	2260	2508
474	2264	2503
475	2269	2498
476	2273	2493
477	2278	2487
478	2282	2483
479	2287	2477
480	2290	2471
481	2294	2465
482	2298	2460
483	2302	2454
484	2307	2449
485	2311	2444
486	2314	2437
487	2318	2432
488	2322	2427
489	2326	2421
490	2330	2415
491	2333	2409
492	2337	2404
493	2342	2398
494	2346	2393
495	2350	2388
496	2354	2382
497	2358	2377
498	2361	2371
499	2365	2365
500	2370	2360
501	2374	2355
502	2379	2351
503	2383	2345
504	2387	2340
505	2391	2334
506	2395	2329
507	2400	2324
508	2405	2319
509	2409	2315
510	2414	2310
511	2419	2305
512	2423	2301
513	2428	2295
514	2432	2291
515	2437	2286
516	2442	2281
517	2447	2277
518	2452	2272
519	2455	2266
520	2460	2261
521	2463	2255
522	2467	2250
523	2471	2244
524	2475	2239
525	2480	2234
526	2484	2229
527	2488	2224
528	2493	2219
529	2497	2214
530	2501	2209
531	2505	2204
532	2509	2198
533	2512	2192
534	2516	2187
535	2521	2182
536	2525	2177
537	2530	2173
538	2535	2168
539	2541	2164
540	2546	2160
541	2550	2155
542	2555	2150
543	2558	2144
544	2563	2139
545	2566	2134
546	2571	2129
547	2575	2124
548	2579	2119
549	2583	2114
550	2588	2109
551	2592	2103
552	2596	2099
553	2600	2093
554	2604	2088
555	2608	2083
556	2612	2078
557	2617	2073
558	2621	2068
559	2626	2063
560	2630	2058
561	2636	2054
562	2640	2049
563	2644	2044
564	2648	2039
565	2653	2034
566	2657	2029
567	2661	2024
568	2666	2019
569	2670	2014
570	2674	2009
571	2679	2004
572	2684	2000
573	2689	1995
574	2693	1991
575	2697	1985
576	2702	1980
577	2706	1975
578	2710	1971
579	2715	1966
580	2720	1962
581	2725	1957
582	2731	1953
583	2736	1949
584	2741	1944
585	2746	1940
586	2750	1934
587	2755	1930
588	2759	1925
589	2762	1920
590	2767	1915
591	2771	1910
592	2775	1904
593	2779	1899
594	2784	1895
595	2788	1889
596	2792	1885
597	2796	1880
598	2801	1875
599	2805	1870
600	2809	1865
601	2813	1860
602	2818	1855
603	2823	1851
604	2827	1846
605	2831	1841
606	2835	1835
607	2840	1831
608	2843	1825
609	2849	1821
610	2853	1816
611	2857	1811
612	2862	1807
613	2868	1803
614	2873	1798
615	2877	1794
616	2883	1789
617	2888	1785
618	2893	1781
619	2899	1777
620	2904	1772
621	2908	1767
622	2912	1762
623	2917	1758
624	2922	1753
625	2926	1748
626	2930	1743
627	2934	1738
628	2937	1732
629	2941	1727
630	2945	1722
631	2953	1719
632	2958	1715
633	2962	1710
634	2966	1704
635	2970	1700
636	2975	1695
637	2978	1690
638	2983	1685
639	2988	1680
640	2992	1675
641	2997	1671
642	3001	1666
643	3006	1662
644	3010	1657
645	3015	1652
646	3020	1647
647	3023	1642
648	3027	1637
649	3031	1632
650	3036	1627
651	3042	1623
652	3046	1618
653	3050	1614
654	3055	1609
655	3059	1604
656	3063	1599
657	3068	1595
658	3073	1590
659	3077	1585
660	3081	1580
661	3086	1575
662	3089	1570
663	3092	1564
664	3096	1560
665	3100	1555
666	3105	1550
667	3109	1545
668	3113	1540
669	3116	1535
670	3120	1530
671	3125	1525
672	3129	1520
673	3134	1516
674	3137	1510
675	3141	1505
676	3146	1501
677	3150	1496
678	3154	1491
679	3158	1486
680	3162	1481
681	3167	1476
682	3171	1472
683	3175	1467
684	3180	1462
685	3186	1458
686	3191	1454
687	3196	1449
688	3200	1444
689	3203	1439
690	3208	1434
691	3212	1429
692	3216	1424
693	3219	1419
694	3223	1414
695	3227	1409
696	3231	1404
697	3235	1399
698	3239	1394
699	3243	1390
700	3247	1385
701	3252	1380
702	3257	1376
703	3261	1371
704	3265	1366
705	3269	1361
706	3272	1356
707	3276	1351
708	3280	1346
709	3284	1341
710	3288	1336
711	3292	1331
712	3296	1326
713	3300	1321
714	3305	1317
715	3309	1312
716	3312	1307
717	3316	1302
718	3320	1297
719	3324	1292
720	3329	1288
721	3334	1283
722	3338	1279
723	3343	1274
724	3347	1269
725	3351	1264
726	3355	1259
727	3358	1254
728	3361	1249
729	3365	1244
730	3370	1240
731	3374	1235
732	3379	1231
733	3383	1226
734	3387	1221
735	3391	1216
736	3395	1211
737	3400	1207
738	3404	1202
739	3408	1197
740	3413	1193
741	3418	1188
742	3422	1183
743	3427	1179
744	3431	1174
745	3436	1170
746	3442	1165
747	3447	1161
748	3451	1156
749	3456	1152
750	3460	1147
751	3465	1142
752	3470	1138
753	3475	1133
754	3481	1129
755	3486	1125
756	3490	1120
757	3494	1115
758	3500	1111
759	3504	1106
760	3508	1101
761	3512	1096
762	3516	1092
763	3520	1087
764	3524	1082
765	3528	1078
766	3533	1073
767	3537	1068
768	3541	1063
769	3547	1059
770	3551	1054
771	3560	1051
772	3566	1047
773	3573	1043
774	3581	1039
775	3587	1035
776	3594	1031
777	3602	1027
778	3607	1023
779	3612	1018
780	3617	1014
781	3622	1009
782	3626	1005
783	3632	1000
784	3637	996
785	3642	991
786	3647	987
787	3651	982
788	3656	977
789	3659	972
790	3663	968
791	3667	963
792	3670	958
793	3673	953
794	3677	948
795	3680	943
796	3684	938
797	3689	933
798	3693	929
799	3697	924
800	3700	919
801	3704	914
802	3708	909
803	3711	904
804	3716	900
805	3720	895
806	3724	890
807	3729	886
808	3733	881
809	3737	876
810	3740	871
811	3744	866
812	3748	862
813	3751	857
814	3755	852
815	3760	847
816	3764	843
817	3768	838
818	3772	833
819	3776	828
820	3780	824
821	3784	819
822	3788	814
823	3793	810
824	3798	805
825	3803	801
826	3808	796
827	3812	792
828	3823	788
829	3827	783
830	3831	779
831	3836	774
832	3840	769
833	3844	765
834	3848	760
835	3852	755
836	3856	751
837	3861	746
838	3865	741
839	3869	737
840	3873	732
841	3877	727
842	3881	722
843	3886	718
844	3890	713
845	3894	708
846	3898	704
847	3902	699
848	3905	694
849	3909	689
850	3912	685
851	3916	680
852	3920	675
853	3924	670
854	3927	666
855	3931	661
856	3934	656
857	3938	651
858	3943	647
859	3948	642
860	3952	638
861	3955	633
862	3959	628
863	3962	623
864	3966	619
865	3971	614
866	3975	609
867	3979	605
868	3983	600
869	3988	596
870	3993	591
871	3997	586
872	4002	582
873	4005	577
874	4009	572
875	4013	568
876	4016	563
877	4020	558
878	4024	554
879	4029	549
880	4032	544
881	4037	540
882	4042	535
883	4046	531
884	4050	526
885	4054	521
886	4058	517
887	4062	512
888	4066	507
889	4070	503
890	4073	498
891	4077	493
892	4081	489
893	4084	484
894	4089	479
895	4094	475
896	4098	470
897	4104	466
898	4108	461
899	4112	456
900	4116	452
901	4120	447
902	4124	443
903	4128	438
904	4133	433
905	4136	429
906	4140	424
907	4144	419
908	4149	415
909	4153	410
910	4157	406
911	4161	401
912	4164	396
913	4168	392
914	4172	387
915	4176	382
916	4180	378
917	4184	373
918	4187	369
919	4191	364
920	4195	359
921	4199	355
922	4202	350
923	4205	345
924	4209	341
925	4213	336
926	4217	332
927	4220	327
928	4223	322
929	4227	318
930	4231	313
931	4236	309
932	4240	304
933	4246	300
934	4250	295
935	4254	290
936	4258	286
937	4262	281
938	4266	277
939	4270	272
940	4273	267
941	4277	263
942	4280	258
943	4284	254
944	4287	249
945	4291	244
946	4295	240
947	4298	235
948	4302	231
949	4306	226
950	4310	222
951	4313	217
952	4317	212
953	4321	208
954	4325	203
955	4329	199
956	4334	194
957	4338	190
958	4341	185
959	4345	181
960	4348	176
961	4352	171
962	4355	167
963	4358	162
964	4363	158
965	4367	153
966	4371	149
967	4376	144
968	4380	140
969	4385	135
970	4389	131
971	4394	126
972	4399	122
973	4403	117
974	4408	113
975	4412	108
976	4416	103
977	4420	99
978	4424	94
979	4429	90
980	4432	85
981	4437	81
982	4441	76
983	4445	72
984	4449	67
985	4454	63
986	4458	58
987	4462	54
988	4466	49
989	4470	45
990	4473	40
991	4478	36
992	4481	31
993	4485	27
994	4488	22
995	4492	18
996	4495	13
997	4500	9
998	4504	4
999	4508	0
